0000000289 2025-01-30 01:24:37 [1] Thread Thread-1 logging INFO  msg:58
0000000290 2025-01-30 01:24:37 [1] Thread Thread-2 logging INFO  msg:58
0000000291 2025-01-30 01:24:37 [0] Thread Thread-0 logging DEBUG msg:57
0000000292 2025-01-30 01:24:37 [0] Thread Thread-3 logging DEBUG msg:57
0000000293 2025-01-30 01:24:37 [1] Thread Thread-0 logging INFO  msg:58
0000000294 2025-01-30 01:24:37 [1] Thread Thread-3 logging INFO  msg:58
0000000295 2025-01-30 01:24:37 [1] Thread Thread-4 logging INFO  msg:58
0000000296 2025-01-30 01:24:37 [2] Thread Thread-1 logging WARN  msg:59
0000000297 2025-01-30 01:24:37 [2] Thread Thread-2 logging WARN  msg:59
0000000298 2025-01-30 01:24:37 [2] Thread Thread-3 logging WARN  msg:59
0000000299 2025-01-30 01:24:37 [2] Thread Thread-0 logging WARN  msg:59
0000000300 2025-01-30 01:24:37 [3] Thread Thread-1 logging ERROR msg:60
0000000301 2025-01-30 01:24:37 [2] Thread Thread-4 logging WARN  msg:59
0000000302 2025-01-30 01:24:37 [3] Thread Thread-2 logging ERROR msg:60
0000000303 2025-01-30 01:24:37 [0] Thread Thread-1 logging DEBUG msg:61
0000000304 2025-01-30 01:24:37 [3] Thread Thread-4 logging ERROR msg:60
0000000305 2025-01-30 01:24:37 [3] Thread Thread-3 logging ERROR msg:60
0000000306 2025-01-30 01:24:37 [3] Thread Thread-0 logging ERROR msg:60
0000000307 2025-01-30 01:24:37 [0] Thread Thread-2 logging DEBUG msg:61
0000000308 2025-01-30 01:24:37 [1] Thread Thread-1 logging INFO  msg:62
0000000309 2025-01-30 01:24:37 [0] Thread Thread-4 logging DEBUG msg:61
0000000310 2025-01-30 01:24:37 [0] Thread Thread-3 logging DEBUG msg:61
0000000311 2025-01-30 01:24:37 [0] Thread Thread-0 logging DEBUG msg:61
0000000312 2025-01-30 01:24:37 [1] Thread Thread-2 logging INFO  msg:62
0000000313 2025-01-30 01:24:37 [1] Thread Thread-0 logging INFO  msg:62
0000000314 2025-01-30 01:24:37 [2] Thread Thread-1 logging WARN  msg:63
0000000315 2025-01-30 01:24:37 [2] Thread Thread-2 logging WARN  msg:63
0000000316 2025-01-30 01:24:37 [1] Thread Thread-4 logging INFO  msg:62
0000000317 2025-01-30 01:24:37 [1] Thread Thread-3 logging INFO  msg:62
0000000318 2025-01-30 01:24:37 [2] Thread Thread-0 logging WARN  msg:63
0000000319 2025-01-30 01:24:37 [3] Thread Thread-1 logging ERROR msg:64
0000000320 2025-01-30 01:24:37 [3] Thread Thread-2 logging ERROR msg:64
0000000321 2025-01-30 01:24:37 [2] Thread Thread-4 logging WARN  msg:63
0000000322 2025-01-30 01:24:37 [2] Thread Thread-3 logging WARN  msg:63
0000000323 2025-01-30 01:24:37 [0] Thread Thread-2 logging DEBUG msg:65
0000000324 2025-01-30 01:24:37 [0] Thread Thread-1 logging DEBUG msg:65
0000000325 2025-01-30 01:24:37 [3] Thread Thread-4 logging ERROR msg:64
0000000326 2025-01-30 01:24:37 [3] Thread Thread-0 logging ERROR msg:64
0000000327 2025-01-30 01:24:37 [3] Thread Thread-3 logging ERROR msg:64
0000000328 2025-01-30 01:24:37 [1] Thread Thread-1 logging INFO  msg:66
0000000329 2025-01-30 01:24:37 [1] Thread Thread-2 logging INFO  msg:66
0000000330 2025-01-30 01:24:37 [0] Thread Thread-4 logging DEBUG msg:65
0000000331 2025-01-30 01:24:37 [0] Thread Thread-0 logging DEBUG msg:65
0000000332 2025-01-30 01:24:37 [0] Thread Thread-3 logging DEBUG msg:65
0000000333 2025-01-30 01:24:37 [1] Thread Thread-3 logging INFO  msg:66
0000000334 2025-01-30 01:24:37 [2] Thread Thread-1 logging WARN  msg:67
0000000335 2025-01-30 01:24:37 [2] Thread Thread-2 logging WARN  msg:67
0000000336 2025-01-30 01:24:37 [1] Thread Thread-4 logging INFO  msg:66
0000000337 2025-01-30 01:24:37 [1] Thread Thread-0 logging INFO  msg:66
0000000338 2025-01-30 01:24:37 [2] Thread Thread-3 logging WARN  msg:67
0000000339 2025-01-30 01:24:37 [2] Thread Thread-0 logging WARN  msg:67
